GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5597: Total - Population aged 15 years and over by Labour force status - 25% sample data,v_CA16_5621: Total population aged 15 years and over by work activity during the reference year - 25% sample data,v_CA16_5636: Average weeks worked in reference year,v_CA16_5639: Total labour force aged 15 years and over by class of worker - 25% sample data,v_CA16_5654: Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,v_CA16_5693: Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,v_CA16_5762: Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,v_CA16_5777: Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,"v_CA16_5852: Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% sample data","v_CA16_6659: Total - Other language(s) used regularly at work for the population in private households aged 15 years and over who worked since January 1, 2015 - 25% Sample Data",v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data,v_CA16_5807: Bicycle,v_CA16_6719: Total - Mobility status 5 years ago - 25% sample data
3518001,CSD,Pickering (CY),233.47884,91771,31630,30919,76110,76110,43.3,51835,51835,51835,47690,38285,54575,54575,90035,115,86455
3518005,CSD,Ajax (T),67.65659,119677,38105,37549,95540,95545,43.2,67415,67410,67415,61865,50725,70020,70020,117890,275,112130
3518029,CSD,Uxbridge (TP),423.88393,21176,7946,7663,17655,17655,43.3,12300,12295,12295,11580,8585,13005,13005,20815,55,20150
3519028,CSD,Vaughan (CY),275.04996,306233,96657,94253,246655,246660,43.4,169220,169220,169225,159435,127595,178835,178835,301340,325,287850
3519036,CSD,Markham (CY),213.23371,328966,106131,102676,272055,272050,42.4,172135,172135,172135,159635,127895,183020,183020,324405,465,310325
3519038,CSD,Richmond Hill (T),102.41745,195022,66465,64116,161260,161265,42.5,104920,104925,104925,97645,75885,111045,111050,192260,235,185270
3519044,CSD,Whitchurch-Stouffville (T),209.16236,45837,15712,15355,36040,36040,43.9,24570,24570,24570,23285,18280,26055,26055,44735,70,42130
3519046,CSD,Aurora (T),50.19574,55445,19381,18851,44870,44870,43.0,31905,31905,31910,30015,23865,34105,34105,54190,90,52020
3519048,CSD,Newmarket (T),38.57759,84224,29315,28673,67905,67905,43.0,48105,48100,48105,44945,35690,50940,50940,81945,185,78395
3519049,CSD,King (TP),336.17967,24512,8736,8144,19930,19930,42.9,13825,13825,13825,13230,9595,14875,14875,24115,30,23085
3519054,CSD,East Gwillimbury (T),247.26108,23991,8279,8077,19340,19340,43.6,13800,13795,13795,13000,9770,14670,14670,23230,15,22245
3519070,CSD,Georgina (T),609.70293,45418,18687,16821,37275,37275,43.8,25590,25590,25590,23975,18300,27145,27145,44260,45,42210
3519076,CSD,Chippewas of Georgina Island First Nation (IRI),15.77302,261,565,118,215,215,43.8,130,130,130,125,95,135,135,255,0,245
3520005,CSD,Toronto (C),634.43388,2731571,1179057,1112929,2294790,2294790,42.3,1483680,1483680,1483680,1361375,1094805,1559535,1559535,2663550,34355,2556120
3521005,CSD,Mississauga (CY),292.93224,721599,248469,240913,594760,594760,42.4,394640,394640,394635,361685,296190,413940,413940,708770,1135,680150
3521010,CSD,Brampton (CY),267.90857,593638,173428,168011,470765,470765,42.5,319620,319620,319620,293070,239825,334545,334545,583685,725,553385
3521024,CSD,Caledon (T),695.55018,66502,22021,21256,53870,53870,43.5,38850,38850,38850,36710,28725,41045,41045,65575,35,62890
3522012,CSD,Mono (T),280.58695,8609,3127,2919,7190,7195,43.5,5030,5030,5035,4805,3390,5455,5450,8520,0,8195
3522014,CSD,Orangeville (T),15.89666,28900,10696,10565,22875,22875,43.8,16765,16760,16760,15745,12960,17550,17545,28005,85,26565
3524001,CSD,Oakville (T),139.64673,193832,68617,66269,155025,155020,42.4,105750,105750,105750,98455,78830,112355,112355,190215,550,182765
3524009,CSD,Milton (T),365.03646,110128,35537,34257,80560,80555,43.7,59815,59815,59820,56485,45975,62905,62905,107350,200,99630
3524015,CSD,Halton Hills (T),277.76811,61161,21475,21078,48770,48765,43.9,35730,35730,35735,33855,27320,37615,37610,59620,145,57150
3543007,CSD,New Tecumseth (T),274.78374,34242,13191,12906,27895,27895,43.6,18760,18760,18760,17570,13735,19800,19800,33410,125,31895
3543014,CSD,Bradford West Gwillimbury (T),202.81546,35325,11918,11591,27740,27735,43.6,19970,19965,19965,18810,14500,21035,21035,34380,60,32390
